Question,main,sub1,sub2,Description,Description_short,TBD,dim1,dim2,dim3
Q7_4_3,Q7,4,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Fellowship Advising - # PT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Fellowship Advising,# PT staff primarily dedicated,NA
Q7_5_1,Q7,5,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Pre-Law Advising - Total # of staff involved",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Pre-Law Advising,Total # of staff involved,NA
Q7_5_2,Q7,5,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Pre-Law Advising - # FT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Pre-Law Advising,# FT staff primarily dedicated,NA
Q7_5_3,Q7,5,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Pre-Law Advising - # PT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Pre-Law Advising,# PT staff primarily dedicated,NA
Q7_6_1,Q7,6,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Program/Event Planning - Total # of staff involved",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Program/Event Planning,Total # of staff involved,NA
Q7_6_2,Q7,6,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Program/Event Planning - # FT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Program/Event Planning,# FT staff primarily dedicated,NA
Q7_6_3,Q7,6,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Program/Event Planning - # PT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Program/Event Planning,# PT staff primarily dedicated,NA
Q7_7_1,Q7,7,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Marketing/Communications - Total # of staff involved",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Marketing/Communications,Total # of staff involved,NA
Q7_7_2,Q7,7,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Marketing/Communications - # FT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Marketing/Communications,# FT staff primarily dedicated,NA
Q7_7_3,Q7,7,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Marketing/Communications - # PT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Marketing/Communications,# PT staff primarily dedicated,NA
Q7_8_1,Q7,8,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Employer Relations - Total # of staff involved",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Employer Relations,Total # of staff involved,NA
Q7_8_2,Q7,8,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0 - Employer Relations - # FT staff primarily dedicated",NA,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Employer Relations,# FT staff primarily dedicated,NA
