Question,main,sub1,sub2,Description,Description_short,dim1,dim2
Q8_5_3,Q8,5,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Pre-Law Advising,# PT staff primarily dedicated
Q8_6_1,Q8,6,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Program/Event Planning,Total # of staff involved
Q8_6_2,Q8,6,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Program/Event Planning,# FT staff primarily dedicated
Q8_6_3,Q8,6,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Program/Event Planning,# PT staff primarily dedicated
Q8_7_1,Q8,7,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Marketing/Communications,Total # of staff involved
Q8_7_2,Q8,7,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Marketing/Communications,# FT staff primarily dedicated
Q8_7_3,Q8,7,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Marketing/Communications,# PT staff primarily dedicated
Q8_8_1,Q8,8,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",Professional Staff: Employer Relations,Employer Relations,Total # of staff involved
Q8_8_2,Q8,8,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Employer Relations,# FT staff primarily dedicated
Q8_8_3,Q8,8,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Employer Relations,# PT staff primarily dedicated
Q8_9_1,Q8,9,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Internship Funding,Total # of staff involved
Q8_9_2,Q8,9,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Internship Funding,# FT staff primarily dedicated
Q8_9_3,Q8,9,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Internship Funding,# PT staff primarily dedicated
Q8_10_1,Q8,10,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Office Management/Front Desk,Total # of staff involved
Q8_10_2,Q8,10,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Office Management/Front Desk,# FT staff primarily dedicated
Q8_10_3,Q8,10,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Office Management/Front Desk,# PT staff primarily dedicated
Q8_11_1,Q8,11,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Supervision of Professional Staff,Total # of staff involved
Q8_11_2,Q8,11,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Supervision of Professional Staff,# FT staff primarily dedicated
Q8_11_3,Q8,11,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Supervision of Professional Staff,# PT staff primarily dedicated
Q8_12_1,Q8,12,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Budget Management,Total # of staff involved
Q8_12_2,Q8,12,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Budget Management,# FT staff primarily dedicated
Q8_12_3,Q8,12,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Budget Management,# PT staff primarily dedicated
Q8_13_1,Q8,13,1,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Technology Management,Total # of staff involved
Q8_13_2,Q8,13,2,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Technology Management,# FT staff primarily dedicated
Q8_13_3,Q8,13,3,"The following question is designed to measure how your career center allocates responsibilities.  Please read the following instructions and examples carefully.  
In the first column, please indicate how many professional staff (i.e., not students) devote ANY level of time to the functional areas listed. In the 2nd and 3rd columns, please indicate how many full-time and/or part-time staff are exclusively or primarily dedicated (e.g., this is one of their top three responsibilities) to each functional area.



	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers. If your response is none to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: If 8 people in your office are responsible for general counseling/advising and it is the primary responsibility of 4 individuals (3 are FT and 1 is PT) you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			General Counseling/Advising
			8
			3
			1
		
	


Example 2: If 10 people in your office are involved with Program/Event Planning but it is not in anyone's ""top 3"" responsibilities, you would complete that line item as follows:


	
		
			 
			Total # of staff

			involved
			#FT staff primarily

			dedicated
			#PT staff primarily

			dedicated
		
		
			Program/Event Planning
			10
			0
			0",NA,Technology Management,# PT staff primarily dedicated
